"Timestamp","Name","Sensor value"
"09/20/2019 - 01:03","Soil Bulk EC (uS/cm)","477.54"
"09/20/2019 - 01:03","Soil Pore Water EC (uS/cm)","2452.15"
"09/20/2019 - 01:03","Battery Voltage (V)","6.61"
"09/20/2019 - 01:09","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:09","Soil Temp (C)","22.56"
"09/20/2019 - 01:09","Soil Permittivity","23.28"
"09/20/2019 - 01:09","Soil Bulk EC (uS/cm)","477.54"
"09/20/2019 - 01:09","Soil Pore Water EC (uS/cm)","2482.91"
"09/20/2019 - 01:09","Battery Voltage (V)","6.61"
"09/20/2019 - 01:15","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:15","Soil Temp (C)","22.56"
"09/20/2019 - 01:15","Soil Permittivity","23.28"
"09/20/2019 - 01:15","Soil Bulk EC (uS/cm)","475.34"
"09/20/2019 - 01:15","Soil Pore Water EC (uS/cm)","2459.47"
"09/20/2019 - 01:15","Battery Voltage (V)","6.59"
"09/20/2019 - 01:21","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:21","Soil Temp (C)","22.56"
"09/20/2019 - 01:21","Soil Permittivity","23.28"
"09/20/2019 - 01:21","Soil Bulk EC (uS/cm)","472.78"
"09/20/2019 - 01:21","Soil Pore Water EC (uS/cm)","2459.47"
"09/20/2019 - 01:21","Battery Voltage (V)","6.56"
"09/20/2019 - 01:27","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:27","Soil Temp (C)","22.56"
"09/20/2019 - 01:27","Soil Permittivity","23.28"
"09/20/2019 - 01:27","Soil Bulk EC (uS/cm)","470.58"
"09/20/2019 - 01:27","Soil Pore Water EC (uS/cm)","2446.29"
"09/20/2019 - 01:27","Battery Voltage (V)","6.57"
"09/20/2019 - 01:34","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:34","Soil Temp (C)","22.56"
"09/20/2019 - 01:34","Soil Permittivity","23.28"
"09/20/2019 - 01:34","Soil Bulk EC (uS/cm)","466.92"
"09/20/2019 - 01:34","Soil Pore Water EC (uS/cm)","2427.25"
"09/20/2019 - 01:34","Battery Voltage (V)","6.59"
"09/20/2019 - 01:40","Volumetric Water Content (%)","40.44"
"09/20/2019 - 01:40","Soil Temp (C)","22.56"
"09/20/2019 - 01:40","Soil Permittivity","23.16"
"09/20/2019 - 01:40","Soil Bulk EC (uS/cm)","468.02"
"09/20/2019 - 01:40","Soil Pore Water EC (uS/cm)","2444.82"
"09/20/2019 - 01:40","Battery Voltage (V)","6.59"
"09/20/2019 - 01:46","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:46","Soil Temp (C)","22.56"
"09/20/2019 - 01:46","Soil Permittivity","23.28"
"09/20/2019 - 01:46","Soil Bulk EC (uS/cm)","466.92"
"09/20/2019 - 01:46","Soil Pore Water EC (uS/cm)","2427.25"
"09/20/2019 - 01:46","Battery Voltage (V)","6.57"
"09/20/2019 - 01:52","Volumetric Water Content (%)","40.56"
"09/20/2019 - 01:52","Soil Temp (C)","22.56"
"09/20/2019 - 01:52","Soil Permittivity","23.28"
"09/20/2019 - 01:52","Soil Bulk EC (uS/cm)","464.36"
"09/20/2019 - 01:52","Soil Pore Water EC (uS/cm)","2414.06"
"09/20/2019 - 01:52","Battery Voltage (V)","6.57"
